"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"84",8,"Antonio Gibson",NE,"14","4 out of 5 stars","-2"
"85",8,"Kenneth Gainwell",PIT,"5","4 out of 5 stars","+7"
"86",8,"Audric Estime",DEN,"12","2 out of 5 stars","+1"
"87",8,"Isaiah Davis",NYJ,"9","5 out of 5 stars","+9"
"88",8,"Jordan James",SF,"14","3 out of 5 stars","-9"
"89",8,"Khalil Herbert",IND,"11","2 out of 5 stars","-"
"90",8,"Emanuel Wilson",GB,"5","4 out of 5 stars","+3"
"91",8,"Kimani Vidal",LAC,"12","2 out of 5 stars","+4"
"92",9,"Damien Martinez",SEA,"8","3 out of 5 stars","+5"
"93",9,"Sincere McCormick",LV,"8","2 out of 5 stars","-"
"94",9,"Chris Brooks",GB,"5","4 out of 5 stars","-"
"95",9,"Phil Mafah",DAL,"10","2 out of 5 stars","+3"
"96",9,"Ty Chandler",MIN,"6","3 out of 5 stars","-"
"97",9,"Raheim Sanders",LAC,"12","2 out of 5 stars","-"
